Categoria ,Código AT,Atividade,Ficha,Elemento,Fonte,Orçado,Creditado,Anulado,Saldo,Janeiro,Janeiro,Janeiro,Fevereiro,Fevereiro,Fevereiro,Março,Março,Março,Abril ,Abril ,Abril ,Maio,Maio,Maio,Junho,Junho,Junho,Julho,Julho,Julho,Agosto,Agosto,Agosto,Setembro,Setembro,Setembro,Outubro,Outubro,Outubro,Novembro,Novembro,Novembro,Dezembro,Dezembro,Dezembro,Total,Total,Total
Ensino Geral,1.003,"Construção, Ampliação e Reformas de Prédios Escolares",491,Obras e Instalações,15001,"R$ 532,50",,,,"R$ 0,00",,,"R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,1.003,"Construção, Ampliação e Reformas de Prédios Escolares",492,Obras e Instalações,1570,"R$ 532,50",,,,"R$ 0,00",,,"R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,1.003,"Construção, Ampliação e Reformas de Prédios Escolares",493,Obras e Instalações,1571,"R$ 13.312,50",,,,"R$ 0,00",,,"R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,1.004,Aquisição Veículo para a Educação,539,Equipamentos e Materiais Permanentes,15001,"R$ 1.065,00",,,,"R$ 0,00",,,"R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,1.004,Aquisição Veículo para a Educação,540,Equipamentos e Materiais Permanentes,1569,"R$ 1.065,00",,,,"R$ 0,00",,,"R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,1.004,Aquisição Veículo para a Educação,541,Equipamentos e Materiais Permanentes,1570,"R$ 22.442,50",,,,"R$ 0,00",,,"R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,1.004,Aquisição Veículo para a Educação,542,Equipamentos e Materiais Permanentes,1571,"R$ 29.187,50",,,,"R$ 0,00",,,"R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,1.018,Construção de Escola no Bairro Bom Jesus dos Campos,488,Obras e Instalações,15001,"R$ 2.000.000,00",,,,"R$ 0,00",,,"R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,1.018,Construção de Escola no Bairro Bom Jesus dos Campos,489,Obras e Instalações,1570,"R$ 500,00",,,,"R$ 0,00",,,"R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,1.018,Construção de Escola no Bairro Bom Jesus dos Campos,490,Obras e Instalações,1571,"R$ 12.500,00",,,,"R$ 0,00",,,"R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
